publication_year;nanoparticles;battery_cathode;photocatalytic;polymers;thermoelectric;mofs;biomaterials;2Dmaterials;semiconductor
2010;17;;;11;;1;1;2;
2011;36;;;4;1;1;2;4;
2012;30;;;41;;1;2;4;
2013;52;;;12;1;1;2;139;1
2014;148;1;1;53;1;3;8;33;1
2015;192;2;2;96;36;14;38;56;5
2016;245;9;2;129;18;19;6;81;5
2017;302;4;2;149;9;16;8;82;17
2018;656;5;24;303;20;53;65;178;19
2019;723;9;8;485;21;84;83;263;33
2020;648;17;14;403;20;58;43;318;20
2021;706;11;13;312;38;38;68;399;26
2022;834;3;17;379;18;64;92;406;34
2023;880;15;11;374;32;92;76;414;39
